frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
48.97,-1.67,-1.54,-1.67,-1.54,1.54,-0.13,-0.13,-0.13
49.46,-1.67,-1.54,-1.67,-1.54,1.54,-0.13,-0.13,-0.13
49.96,-1.66,-1.53,-1.66,-1.53,1.53,-0.13,-0.13,-0.13
50.46,-1.66,-1.53,-1.66,-1.53,1.53,-0.13,-0.13,-0.13
50.96,-1.66,-1.53,-1.66,-1.53,1.53,-0.13,-0.13,-0.13
51.47,-1.66,-1.53,-1.66,-1.53,1.53,-0.13,-0.13,-0.13
51.99,-1.65,-1.52,-1.65,-1.52,1.52,-0.13,-0.13,-0.13
52.51,-1.65,-1.52,-1.65,-1.52,1.52,-0.13,-0.13,-0.13
53.03,-1.65,-1.52,-1.65,-1.52,1.52,-0.13,-0.13,-0.13
53.56,-1.64,-1.51,-1.64,-1.51,1.51,-0.13,-0.13,-0.13
54.10,-1.64,-1.51,-1.64,-1.51,1.51,-0.13,-0.13,-0.13
54.64,-1.63,-1.50,-1.63,-1.50,1.50,-0.13,-0.13,-0.13
55.18,-1.63,-1.50,-1.63,-1.50,1.50,-0.13,-0.13,-0.13
55.74,-1.62,-1.49,-1.62,-1.49,1.49,-0.13,-0.13,-0.13
56.29,-1.62,-1.49,-1.62,-1.49,1.49,-0.13,-0.13,-0.13
56.86,-1.61,-1.48,-1.61,-1.48,1.48,-0.13,-0.13,-0.13
57.42,-1.61,-1.48,-1.61,-1.48,1.48,-0.13,-0.13,-0.13
58.00,-1.60,-1.47,-1.60,-1.47,1.47,-0.13,-0.13,-0.13
58.58,-1.60,-1.47,-1.60,-1.47,1.47,-0.13,-0.13,-0.13
59.16,-1.59,-1.46,-1.59,-1.46,1.46,-0.13,-0.13,-0.13
59.76,-1.59,-1.46,-1.59,-1.46,1.46,-0.13,-0.13,-0.13
60.35,-1.58,-1.45,-1.58,-1.45,1.45,-0.13,-0.13,-0.13
60.96,-1.57,-1.44,-1.57,-1.44,1.44,-0.13,-0.13,-0.13
61.57,-1.57,-1.44,-1.57,-1.44,1.44,-0.13,-0.13,-0.13
62.18,-1.56,-1.43,-1.56,-1.43,1.43,-0.13,-0.13,-0.13
62.80,-1.55,-1.42,-1.55,-1.42,1.42,-0.13,-0.13,-0.13
63.43,-1.55,-1.42,-1.55,-1.42,1.42,-0.13,-0.13,-0.13
64.07,-1.54,-1.41,-1.54,-1.41,1.41,-0.13,-0.13,-0.13
64.71,-1.53,-1.40,-1.53,-1.40,1.40,-0.13,-0.13,-0.13
65.35,-1.52,-1.39,-1.52,-1.39,1.39,-0.13,-0.13,-0.13
66.01,-1.51,-1.38,-1.51,-1.38,1.38,-0.13,-0.13,-0.13
66.67,-1.50,-1.37,-1.50,-1.37,1.37,-0.13,-0.13,-0.13
67.33,-1.49,-1.36,-1.49,-1.36,1.36,-0.13,-0.13,-0.13
68.01,-1.48,-1.35,-1.48,-1.35,1.35,-0.13,-0.13,-0.13
68.69,-1.47,-1.34,-1.47,-1.34,1.34,-0.13,-0.13,-0.13
69.37,-1.46,-1.33,-1.46,-1.33,1.33,-0.13,-0.13,-0.13
70.07,-1.45,-1.32,-1.45,-1.32,1.32,-0.13,-0.13,-0.13
70.77,-1.44,-1.31,-1.44,-1.31,1.31,-0.13,-0.13,-0.13
71.48,-1.43,-1.30,-1.43,-1.30,1.30,-0.13,-0.13,-0.13
72.19,-1.42,-1.29,-1.42,-1.29,1.29,-0.13,-0.13,-0.13
72.91,-1.40,-1.27,-1.40,-1.27,1.27,-0.13,-0.13,-0.13
73.64,-1.39,-1.26,-1.39,-1.26,1.26,-0.13,-0.13,-0.13
74.38,-1.38,-1.25,-1.38,-1.25,1.25,-0.13,-0.13,-0.13
75.12,-1.36,-1.23,-1.36,-1.23,1.23,-0.13,-0.13,-0.13
75.87,-1.35,-1.22,-1.35,-1.22,1.22,-0.13,-0.13,-0.13
76.63,-1.34,-1.21,-1.34,-1.21,1.21,-0.13,-0.13,-0.13
77.40,-1.32,-1.19,-1.32,-1.19,1.19,-0.13,-0.13,-0.13
78.17,-1.31,-1.18,-1.31,-1.18,1.18,-0.13,-0.13,-0.13
78.95,-1.29,-1.16,-1.29,-1.16,1.16,-0.13,-0.13,-0.13
79.74,-1.27,-1.14,-1.27,-1.14,1.14,-0.13,-0.13,-0.13
